Facility Name,Facility RRID,Institution Name,City,State,Country,Website,Services,Description
Mouse Biology Program,RRID:SCR_017851,"University of California, Davis",Davis,CA,United States of America,mousebiology.org,"Animal Husbandry,Assisted Reproductive Technologies (Rodent IVF, ICSI),Bariatric Surgery (mouse),Behavioral Phenotyping,Biorepository,Cell Culture,Cell Lines For SARS-CoV-2 Research,Colony Management,Computational - Bioinformatics,Consultation,Consultations,Copy Number Variation (CNV),CRISPR,CRISPR Injection Services,CRISPR Rosa26 & CRISPR H11,CRISPR/Cas Project Design,Cryostat Histology,Data Analysis,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Defined-flora Mice,Digital PCR,Discovery Science,DNA Analysis,DNA Isolation,Embryo Cryopreservation & Recovery Services,ES Cell Electroporation,ES Cell Injection,ES Cell Technology (Mouse),Experimental Design,Fear Conditioning,Fresh/Frozen Sperm IVF,Gait Analysis,Genome Engineering,Genomics,Genotyping,Germfree Mice,Germplasm,Gnotobiotic Mice,H&E Staining,Histology,In-vivo Imaging,Indirect Calorimetry (mouse),Injection Of DNA Constructs,Karyotyping,Metabolomics,Metagenomics Analysis,Microbiome,Molecular Construct Services,Myco","The Mouse Biology Program (MBP) at the University of California, Davis, is a research center that focuses on using mice as a model organisms to study a wide range of biological processes, including genetics, development, behavior, and disease. The MBP provides a range of resources and facilities to support this research, including:
 
 1. Mouse colony management: The MBP maintains a large colony of mice used for research purposes. This includes breeding, genotyping, and cryopreservation services to support the production and maintenance of mice with specific genetic backgrounds or..."
UC Davis Bioinformatics Core,RRID:SCR_023887,"University of California, Davis",Davis,CA,United States,https://bioinformatics.ucdavis.edu/,"Computational - Bioinformatics,Computational - Biostatistics,Consultations,Data Analysis,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Data Visualization,Experimental Design,Genome/Transcriptome Assembly And Annotation,Genomics,Imputation,Metagenomics Analysis,Metatranscriptomics,Methylation Analysis,Power Analysis,Proteomics Analysis,Single-Cell Analysis,Training","UC Davis Bioinformatics Core helps researchers with their projects, from experimental design, through all analyses and to publication. Facility has over a decade of experience in helping to solve a wide variety of bioinformatics problems, large and small. We have significant expertise in analyzing data from omics technologies, and other projects, to help drive research forward. Facility also offers bioinformatics training workshops regularly."
UC Davis Flow Cytometry Shared Resource Laboratory,RRID:SCR_017826,"University of California, Davis",Davis,CA,United States of America,http://www.ucdmc.ucdavis.edu/cancer/research/sharedresources/flowcytometry.html,"50 Nm Exosome And Microparticle Analysis ,Cell Sorting,Data Analysis,DNA Analysis,Flow Cytometric Analysis,Nanoscale Cytometry,Online Flow Cytometry Training: Semi-Annual Comprehensive Week-Long Cytometry Course,Spectral Flow Cytometry","The UC Davis Flow Cytometry Shared Resource operates cell sorting and analytic cytometry equipment, including nanoscale and spectral flow cytometry support. We have two full-service locations, one on the main academic campus in Davis, CA and another in a separate facility at the UC Davis Medical Center in Sacramento, CA. We offer multiparameter cell sorting and analytic cytometry services, instrumentation training and comprehensive flow cytometry training for UCD, UC, and industry scientists. Comprehensive, week long flow cytometry training is offered online in winter and summer, with..."
UC Davis Genomics Shared Resource,RRID:SCR_023586,"University of California, Davis",Sacramento,CA,USA,https://health.ucdavis.edu/cancer/research/sharedresources/ger.html,"10x Genomics,ATAC-Seq,Blood Processing,CDNA Synthesis,ChIP-Seq,Computational - Bioinformatics,Consultation,Consultations,Custom Library Prep Service,Customized Protocols,Data Analysis,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Data Visualization,Deconvolution,DNA Analysis,DNA Isolation,Genomics,Genotyping-by-sequencing,Microbiome,NanoString GeoMx DSP,Ribosomal Reduction ,RNA analysis,RNA Integrity,RNA Isolation,RNAseq,SARS-CoV-2 Strain Sequencing,Sequencing - Next Generation Sequencing (NGS),Single-cell Sequencing,Spatial Transcriptomics,Whole Genome Sequencing","The Genomics Shared Resource, or GSR, provides expertise and comprehensive services to accomplish virtually every application of next- generation sequencing-based genomics research, including gene expression profiling, mutation/variant analyses, copy number analysis, epigenomics, metagenomics, single-cell sequencing and spatial transcriptomics services. The GSR also specializes in the development of custom protocols and extensive data analysis and integrative bioinformatics support. The shared resource provides a wide range of additional services for translational and clinical genomics..."
UC Davis In Vivo Translational Imaging Shared Resource,RRID:SCR_023589,"University of California, Davis",Davis,CA,USA,https://health.ucdavis.edu/cancer/research/sharedresources/animalimaging.html,"Computed Tomography (CT),In-vivo Imaging,Magnetic Resonance Imaging (MRI),Molecular Imaging,Positron Emission Tomography (PET),Ultrasonic Imaging","The In vivo Translational Imaging Shared Resource, or IVTISR, provides access to a broad range of in vivo imaging technologies including molecular imaging, optical imaging, quantitative physiologic and anatomic imaging, and whole-body PET/CT scanning in humans and animals. It also provides targeted imaging probes and tracers as well as expertise in planning, executing and analyzing in vivo imaging studies. The resource can support imaging studies in small animals, large animals and humans.
 
 This resource is located in three adjacent buildings in the Health Sciences district of the Davis..."
UCD - Center for Molecular and Genomic Imaging,RRID:SCR_023446,"University of California, Davis",Davis,CA,United States,cmgi.ucdavis.edu,"3D & 4D Image Processing Stations,3D Visualization,Clinical Imaging - Small Animal (luminescence/fluorescence),Clinical Imaging - Small Animal (X-ray, Ultrasound, microCAT, MRI),Computed Tomography (CT),Consultation,Data Analysis,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Data Visualization,Image Aquisition,Image Data Management,Image Processing And Analysis,In-vivo Imaging,Magnetic Resonance Imaging (MRI),Micro Computed Tomography,MicroCT,Molecular Imaging,Necropsy,Optical Imaging,Phosphor Imaging,Positron Emission Tomography (PET),Protocol Development,Rodent Study ,Shared Instrumentation Oversight & Maintenance",In Vivo Preclinical Imaging
UCD-Nuclear Magnetic Resonance Facility,RRID:SCR_023445,"University of California, Davis",Davis,CA,United States,nmr.ucdavis.edu,"NMR Medicinal Chemistry Support,NMR Quality Control For Biologic Drugs,NMR Quality Control For Biosimilars,Nuclear Magnetic Resonance (NMR)","Liquid and Solid State Nuclear Magnetic Resonance Spectroscopy at the University of California, Davis"
VM:Comparative Pathology Laboratory,RRID:SCR_027014,"University of California, Davis",Davis,CA,United States,https://cpl.ucdavis.edu/,"Anatomic Pathology ,Clinical Assessment (Hematology, Clinical Chemistries, Etc.),Health Surveillance Testing,Histological Staining,Immunohistochemistry,MFIA, ELISA,Microbiological Culturing,Multiplexed Fluorometric Immunoassay,Necropsy Services (Research Species),Paraffin Or Frozen Block Sectioning,Parasitology Services (Fecal Flotation, Tape Tests),Pathology Consultations,Pathology Evaluation,Pathology Scoring Of Slides,Processing &amp; Embedding- Histology,Real-time QPCR,Serology Testing,Slide Scanning,Staining With Histology Stains Or Special Stains, Including Alcian Blue, Masson Trichrome, Oil-Red-O, PAS, Sirius Red, Toluidine Blue, And Alcian Blue/PAS,Tissue Processing,Veterinary Pathology","The Comparative Pathology Laboratory (CPL) is a veterinary diagnostic laboratory and research pathology core. CPL serves the UC system and external research community by providing laboratory animal diagnostics, clinical and health surveillance screening necessary for the care and use of animals in research, and expert pathology support for basic and translational research. 
 
 Research services include gross necropsy, hematology, serum biochemistry, histology, immunohistochemistry, and histopathology interpretation and scoring by a board-certified comparative pathologist. Consultation and..."
WCMC-West Coast Metabolomics Center,RRID:SCR_023447,"University of California, Davis",Davis,CA,United States,https://metabolomics.ucdavis.edu/core-services,"Imaging Mass Spectrometry,Lipidomics,Metabolomics,Metabolomics Platform","Our metabolomics core facility provides state-of-the-art high throughput services for the analysis of small molecules in biological samples. We specialize in the discovery, identification and quantitation of many metabolites and lipids. Our trained technical staff and 17 mass spectrometers ensure accurate and reliable results for the UC Davis community and beyond. Our goal is to support our clients in their research efforts by providing the most advanced metabolomics analysis services available, and help moving the field forward where it falls short. We also provide professional courses in..."
UCLA Lipidomics Lab,RRID:SCR_019210,"University of California, Los Angeles",Los Angeles,CA,United States of America,https://www.uclalipidomics.net/,"Consultations,Data Analysis,Lipidomics,Mass Spectrometry","The lab offers automated sample preparation and two distinct mass spectrometry platforms which afford a variety of specific services, ranging from shotgun lipidomics to isotope labeling and mathematical modeling of lipid flux parameters. Our full service lab provides data analysis and consultation services which provide users with accurate analysis of lipid metabolic parameters."
UCLA-Broad Stem Cell Research Center Microscopy Core,RRID:SCR_024914,"University of California, Los Angeles",Los Angeles,CA,United States,https://stemcell.ucla.edu/microscopy-core,"3D & 4D Image Processing Stations,3D Visualization,Analysis Workstations,Brightfield Microscopy,Cell Imaging,Computer-assisted Neuron Tracing And Analysis,Confocal Microscopy,Confocal/ Super Resolution Microscope,Data Analysis,Data Processing,Data Visualization,Deconvolution,Differential Interference Contrast Microscopy,Fluorescence Microscope With Optical Sectioning Capability,Fluorescence Spectroscopy,Image Aquisition,Image Processing And Analysis,Immunofluorescence ,Incucyte,Laser Scanning,Live Cell Imaging,Microscopy,Molecular Imaging,Multiphoton Microscopy,Multiplex Fluorescence,Multiplexed Immunofluorescence,Phase Contrast Microscopy,Scanning 20X Brightfield,Scanning 20X Flourescent,Scanning 40X Brightfield,Scanning 40X Fluorescent,Shared Instrumentation Oversight & Maintenance,Spinning Disk Confocal Imaging,Training,UV-Vis Spectroscopy,Widefield Microscopy","The Microscopy Core is a collaboration of the Broad Stem Cell Research Center and the Department of Molecular, Cell and Developmental Biology. The Core's mission is to promote interdisciplinary and collaborative research across UCLA.
 
 The Core provides state-of-the-art, high resolution technologies for imaging and analyzing the molecular and structural organization of cells and tissue as well as bioengineered materials. 
 
 The technologies available in this Core include confocal, wide-field fluorescence and live-cell imaging, as well as software for image analysis."
UCSD - Skaggs School of Pharmacy NMR Facility,RRID:SCR_017919,"University of California, San Diego",La Jolla,CA,United States of America,sopnmr.ucsd.edu,"NMR Medicinal Chemistry Support,Nuclear Magnetic Resonance (NMR)","Our Facility houses a 600 MHz Bruker Avance III NMR spectrometer fitted with a 1.7mm triple resonance cryoprobe, for analysis of mass limited samples, and a 24 position sample changer for automated data acquisition. Users may collect their own data after suitable training, or have Facility staff do it for them."
UCSD-CMM-Electron Microscopy Core,RRID:SCR_022039,"University of California, San Diego",La Jolla,CA,United States of America,https://emcore.ucsd.edu/,"Consultations,Correlative Light Electron Microscopy,Electron Microscopy,Image Aquisition,Immuno Electron Microscopy,Microscopy,Microtomy/Electron,Sample Preparation,Transmission Electron Microscopy",The UCSD Cellular and Molecular Medicine Electron Microscopy core provides services in sample preparation and imaging by Transmission Electron Microscopy and Correlative Light and Electron Microscopy.
DEM Flow Cytometry Core,RRID:SCR_017903,"University of California, San Francisco",San Francisco,CA,United States of America,http://coreimmunology.ucsf.edu/flow-cytometry,Flow Cytometric Analysis,"The DEM Flow Cytometry Core offers instruments and training in flow cytometer operation and techniques. The core offers two BD LSRII analyzers with up to 17-color capacity, as well as a FACS ARIAII for fluorescent cell sorting. Both the analyzers and sorter are within BSL2 (or above) lab space to allow for analysis and sorting of infected human samples."
ES Cell Targeting Core Facility,RRID:SCR_017902,"University of California, San Francisco",San Francisco,CA,United States of America,escore.ucsf.edu,"Cell Culture,DNA Analysis,Genomics,Genotyping,Nucleic Acid Extraction,Tissue Culture,Transgenics","We provide services involved in generating new research models. These range from traditional ES cell targeting and transgenesis, to new genome-editing techniques such as CRISPR and TALEN. A full range of services is available, from training, consultation, and construct design, to targeting, genotyping, and post-targeting QC such as Southern blots to confirm single integrations."
Gladstone Histology & Light Microscopy Core,RRID:SCR_017940,"University of California, San Francisco",San Francisco,CA,United States of America,https://labs.gladstone.org/histology/index.html,"Cell Imaging,Confocal Microscopy,Data Analysis,Histology,Immunohistochemistry,Optical Imaging,Whole Slide Imaging","The Gladstone Histology and Light Microscopy Core is open to Gladstone, UCSF and the greater Bay Area science community. We provide excellent service, collaboration and support for many histological techniques, light microscopy and advanced imaging, image processing and quantitation."
Nikon Imaging Center,RRID:SCR_017862,"University of California, San Francisco",San Francisco,CA,United States of America,http://nic.ucsf.edu,"Cell Imaging,Confocal Microscopy,Microscopy,Optical Imaging","The Nikon Imaging Center at UCSF is equipped with several advanced microscopes. We have two super-resolution microscopes, three confocal microscopes, and three widefield systems. One of our super-resolution systems is a Nikon N-STORM microscope which is capable of PALM, STORM, and other variants of single molecule switching and localization microscopy. It is capable of 3-color imaging with up to 20 nm resolution in XY and 50 nm resolution in Z. This system is also capable of high-speed TIRF microscopy with frame rates > 100fps. The other super-resolution system is a Nikon N-SIM structured..."
UCSF MLK Cores Elemental Analysis Facility,RRID:SCR_017927,"University of California, San Francisco",Oakland,CA,United States of America,https://ucsf.ilab.agilent.com/service_center/show_external/5659,Biochemical Analysis,"The MLK Cores Elemental Analysis Facility provides elemental quantitation and support services (sample preparation, project consultation, and technical writing) in support of a wide range of research projects on a fee-for-use basis at competitive costs. Our flagship instrumentation is an ICP-OES that allows for simultaneous, multi-element measurements over a wide dynamic range with high precision and sensitivity. The instrument is tolerant of high total dissolved solids and complex matrix components, and is compatible with a range of clinical, pre-clinical, basic research, and..."
UCSF Parnassus Flow CoLab,RRID:SCR_018206,"University of California, San Francisco",San Francisco,CA,United States of America,https://flow.ucsf.edu/,"Cell Sorting,Consultations,CyTOF,Exosomes Characterisation,Flow Cytometric Analysis,High Dimensional Flow Cytometry Analysis,Mass Cytometry",The Parnassus Flow CoLab assists investigators whose research requires molecular marker characterization of cells in suspension as well as the isolation of cells based on those markers. Advanced cell sorting and cytometric analyses by Flow or Mass Cytometry are conducted within the Core.
Biomolecular Cryo-Electron Microscopy Facility,RRID:SCR_021755,"University of California, Santa Cruz",Santa Cruz,CA,United States of America,https://cryoem.sites.ucsc.edu/,"Bioimage Informatics,Computational - High Performance Computing,Consultations,Cryo-Electron Microscopy,Data Analysis,Data Processing And Interpretation,Electron Microscopy,High Performance Computing,Immuno Electron Microscopy,Microscopy,Molecular Imaging,Sample Preparation,Staining,Structural Biology,Structure Determination,Transmission Electron Microscopy,Virology","Biomolecular Cryo-Electron Microscopy Facility at University California, Santa Cruz. Equipped with a JEOL 120kV and Glacios 200 kV with K2 Summit direct detector, we provide insights and high throughput data collection and analysis. Single-particle analysis, sample screening, and high-resolution reconstruction are our main businesses."
Institute for the Biology of Stem Cells (IBSC) Cell Culture Facility,RRID:SCR_021353,"University of California, Santa Cruz",Santa Cruz,CA,United States of America,https://ibsc.ucsc.edu/facilities/cell-culture-facility,Cell Culture,"Provides recharge space for all UCSC PI's to use for research projects requiring sterile cell culture resources. Includes Biosafety hoods, centrifuges, microscopes, and facility technical support."
UC Santa Cruz Plasma Analytical Laboratory,RRID:SCR_021925,"University of California, Santa Cruz",SANTA CRUZ,CA,United States of America,https://sites.google.com/ucsc.edu/pal/,"Chemistry Analyzer,Inductively Coupled Plasma Mass-Spectrometry,Inductively Coupled Plasma Optical Emission Spectroscopy,Mass Spectrometry","The Plasma Analytical Lab is an open-access, multi-user, recharge-based core facility operated by the Institute of Marine Sciences, an Organized Research Unit of the University of California, Santa Cruz. The facility is available to the UCSC and University of California research community. We also welcome external researchers and collaborations."
UCSC Chemical Screening Center (CSC),RRID:SCR_021114,"University of California, Santa Cruz",Santa Cruz,CA,United States of America,https://ucsccsc.sites.ucsc.edu/,"Assay Development,Automated Immunoassay Platforms,Automated Liquid Handling,Biological Mechanism,Cell Imaging,Customized Protocols,Data Processing And Interpretation,Drug Discovery,High Content Screening,High-throughput Screening,Image Processing And Analysis,Immunoassay,Immunohistochemistry,Microscopy,Molecular Library Services,Plate Reader,Sample Preparation,Single-Cell Analysis,Small Molecule Compound Screening,Spectroscopy,Tissue Culture","The UCSC Chemical Screening Center (CSC) is a shared research facility using high-throughput and high-content screening techniques to aid in the discovery of therapeutic agents and biomedical research tools. Located amidst the majestic redwoods at the top of the UCSC campus, the CSC is dedicated to improving human health by finding the next generation of therapeutic agents against a wide variety of diseases. The CSC is driving innovation in drug discovery by bringing together experts in drug screening with cell and molecular biologists engaged in disease research. The CSC has also..."
UCSC Life Sciences Microscopy Center,RRID:SCR_021135,"University of California, Santa Cruz",Santa Cruz,CA,United States of America,https://ibsc.ucsc.edu/facilities/microscopy,"3D Visualization,Biological photography/Photomicrography,Cell Imaging,Confocal Microscopy,Microscopy,Molecular Imaging,Multiphoton Microscopy,Optical Imaging,Super-resolution Microscopy,Whole Slide Imaging","The UCSC Life Sciences Microscopy Center is a core facility affiliated with the Institute for the Biology of Stem Cells. The facility provides cutting edge imaging instrumentation to the biology research community including personalized assistance on various aspects of imaging. We offer assistance in experimental design, training on the shared microscopes, image visualization and image analysis."
UCSC-Institute for the Biology of Stem Cells Flow Cytometry Facility,RRID:SCR_021149,"University of California, Santa Cruz",Santa Cruz,CA,United States of America,https://ibsc.ucsc.edu/facilities/cytometry,"FACS Cell Sorting,Multi-color Flow Cytometry",The FACS facility provides user training for self-op use of BD FACS LSRII analyzer 3-laser and Self-op and Assisted sorting on BD FACS Aria IIU 5-lasers
UCSC-Macromolecular Structure Function Core Facility,RRID:SCR_021283,"University of California, Santa Cruz",Santa Cruz,CA,United States of America,https://strucbiol.pbsci.ucsc.edu/,"Gel Chromatography,Isothermal Titration Calorimetry (ITC),Protein Extraction/Purification,Protein Production,Structural Biology,Structure Determination,X-Ray Crystallography,X-ray Diffraction and Scattering","The Macromolecular Structure Function Core Facility (MSFCF) supports Biochemistry and Structural Biology researchers at UC Santa Cruz and the surrounding area. We provide state of the art instrumentation, supplies, and expertise to assist researchers in the structural characterization of biological macromolecules. Resources are available for crystallization and structure determination as wells as biophysical characterization of macromolecular stability and interactions."
Institute of Infectious Disease and Molecular Medicine Microscopy Platform,RRID:SCR_022309,University of Cape Town,Cape Town,,South Africa,https://health.uct.ac.za/idm-imaging,"Fluorescence Microscope With Optical Sectioning Capability,Microscopy,Molecular Imaging,Optical Imaging,Super-resolution Microscopy,Whole Slide Imaging,Widefield Microscopy","Light and fluorescence microscopy core facility with a focus on applications in infectious disease, pathogen and human health research"
Advanced Electron Microscopy,RRID:SCR_019198,University of Chicago,Chicago,IL,United States of America,https://voices.uchicago.edu/advancedem/,"Cryo-Electron Microscopy,Transmission Electron Microscopy","Titan Krios with Gatan K3 detector, Aquilos Cryo-DualBeam system, Apreo Volume Scope Serial Blockface SEM, FEI Talos Cryo-EM"
Biophysics Core Facility,RRID:SCR_017915,University of Chicago,Chicago,IL,United States of America,https://biophy.uchicago.edu/,"Assays and Measurements,Biochemical Analysis","In the era of genomics-driven biology, one must be able to study not only the sequences of genes, but the structures and functions of the molecules they encode, both the proteins and functional RNAs. Characterizing the structure and dynamics of these molecules is crucial to understanding the basis of nearly every cellular function."
Cellular & Tissue Based Processing cGMP Facility,RRID:SCR_019201,University of Chicago,Chicago,IL,United States of America,https://cgmp.uchicago.edu,"Clinical Research,Clinical Trial Support","Cleanroom (ISO7/8) environment for manufacturing and preparing human cells, tissues and tissue-based
 products for treatment of patients for Phase I, II and III clinical trials. CAP Accredited"
Cellular Screening Center,RRID:SCR_017914,University of Chicago,Chicago,IL,United States of America,https://cscenter.uchicago.edu/,"Assays and Measurements,High-throughput Screening,Library Services",The Cellular Screening Center (CSC) provides high throughput cell and non-cell based screening for researchers. Both small molecules and siRNA libraries are offered for such screens.
Cytometry and Antibody Technology,RRID:SCR_017760,University of Chicago,Chicago,IL,United States of America,https://voices.uchicago.edu/ucflow/,"Assays and Measurements,Cell Culture,Cell Imaging,Cell Sorting,Data Analysis,DNA Analysis,F.I.S.H.,Flow Cytometric Analysis,Light Scattering,Monoclonal Antibody,Outreach,Protocol Development/Clinical Trial Coordination,Shared Instrumentation Oversight & Maintenance,Tissue Culture,Training",The Cytometry and Antibody Technology (CAT) Facility’s mission is to support the community of researchers at the University of Chicago with (1) cutting-edge technology operated by expertly trained personnel; and (2) expert technical consultation and training of researchers.
Functional Genomics,RRID:SCR_019196,University of Chicago,Chicago,IL,United States of America,https://fgf.uchicago.edu/,"10x Genomics,Genomics,Microarray,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS),Single-cell Sequencing","Next-Gen (Illumina and Pacific Biosciences Sequencing and Library prep), NovaSEQ-X-Plus, Micro-array (Illumina genotyping and EPIC arrays), Sanger DNA Sequencing, and Bioanalyzer/Fragment-analyzer sample QC services. For Single Cell sequencing project the Facility operates a DROP-SEQ and 10X Genomics instrument"
Human Imaging Research Office,RRID:SCR_018372,University of Chicago,Chicago,IL,United States of America,https://hiro.bsd.uchicago.edu/,"Clinical Research,Clinical Trial Support,Computed Tomography (CT),Data Analysis,DEXA,Image Aquisition,Image Data Management,Image Processing And Analysis,Magnetic Resonance Imaging (MRI)","Our goal is to assist University of Chicago investigators and research staff with medical imaging exams performed on human subjects for research purposes. This includes the acquisition, analysis, collection, de-identification and distribution of image data for both basic science research and clinical trials. Our services ensure research-related imaging fulfills protocol requirements and allow investigators to obtain HIPAA- and IRB-compliant clinical research data. We provide our services for all types of medical imaging, including x-ray, CT, MRI, ultrasound, nuclear medicine, PET, and most..."
Human Immunologic Monitoring Facility,RRID:SCR_017916,University of Chicago,Chicago,IL,United States of America,https://him.uchicago.edu/,"Assays and Measurements,Flow Cytometric Analysis,PCR Arrays,Protein Extraction/Purification,Real-time qPCR,RNA analysis,SDS-PAGE,Western Blot","The Human Immunologic Monitoring (HIM) facility serves as a specialized laboratory performing correlative assays for cancer-based clinical trials. We participate in project development to assist in assay selection and optimization prior to study initiation. We offer a pick-up service for specimens from patients at the U of C Hospital or outpatient clinics, and process the samples as indicated for the assays being performed. For some studies, isolation and freezing of peripheral blood lymphocytes for analysis at a later date is performed, while for others immediate staining of whole blood..."
Human Tissue Resource Center,RRID:SCR_019199,University of Chicago,Chicago,IL,United States of America,https://htrc.uchicago.edu,"BioBanking,Blood Processing,Histology,Human Pathology Services - Diagnostics & Consultation,Immunohistochemistry,In Situ Hybridization,Laser Capture Microdissection,Slide Scanning","A coordinated, centralized, and dedicated program for the procuring, processing, dispersing and assessing all types of biospecimens together with downstream histology services. CAP Accredited"
Integrated Light Microscopy,RRID:SCR_019197,University of Chicago,Chicago,IL,United States of America,https://voices.uchicago.edu/confocal/,"Confocal Microscopy,Confocal/ Super Resolution Microscope,Image Analysis,Image Aquisition,Image Processing And Analysis,Lattice Lightsheet,Light-sheet Microscopy,Live Cell Imaging,Microscopy,Slide Scanning,Spinning Disk Confocal Imaging,Whole Slide Imaging,Widefield Microscopy","High-end microscopy imaging capabilities, including bright field (color, DIC), fluorescence (multi-dimension; TIRFM; bleaching, ablation, FLIM), high-resolution, highspeed, high-sensitivity, confocal, and physiologic techniques; STED, GSD3D, lightsheet selective plane illumination (SPIM), and lattice lightsheet structured illumination super resolution microscopy"
Integrated Small Animal Imaging Research Resource,RRID:SCR_017923,University of Chicago,Chicago,IL,United States of America,https://isairr.bsd.uchicago.edu/,"Clinical Imaging - Small Animal (X-ray, Ultrasound, microCAT, MRI)","Our goal is to provide University of Chicago investigators and external users with state of the art, quantitative multi-modality imaging technologies to advance in-vivo molecular and physiological research of a broad range of disease and cancer models, and to accelerate pre-clinical development of novel therapeutics and diagnostic tools."
iPSC Core Facility,RRID:SCR_017918,University of Chicago,Chicago,IL,United States of America,https://ipsc.bsd.uchicago.edu/,"Cell Culture,Stem Cell Procurement","We train labs to use the latest episomal techniques to reprogram, expand and characterize human and mice iPS cells from skin or blood tissues of healthy subjects and diseased patients. We also develop the capability to differentiate the iPS cells into specific somatic cells, such as neutrons, cardiomyocytes, and hepatocytes."
"Metabolomics Platform, The University of Chicago Comprehensive Cancer Center",RRID:SCR_022932,University of Chicago,Chicago,IL,United States of America,https://voices.uchicago.edu/metabolomics/,"Lipid Profiling (Lipidomics),Polar Metabolite Profiling,Quantitative Targeted Analysis For Selected Metabolites,Stable Isotope Tracing",The platform is equipped with 3 of the high-resolution Thermo Scientific Orbitrap Tribrid mass spectrometers( 2 IQX +1-IDX) coupled to – Vanquish Horizon UHPLC systems and dedicated to (1) full-scan metabolomics for polar metabolite profiling using HILIC chromatography and (2) full-scan non-polar lipid profiling using reverse phase chromatography. The platform has established in-house retention time and MS/MS databases of ~900 reference standards and actively sourcing depending on the sample types. We have experience in quantifying diverse groups of metabolites in a wide variety of...
Proteomics Platform,RRID:SCR_022928,University of Chicago,Chicago,IL,United States,https://voices.uchicago.edu/proteomics/,Proteomics,The mission of the facility is to work in collaboration with groups from UChicago and external organizations or companies to develop and utilize top-notch proteomics techniques to answer both basic and translational scientific questions.
Sanger (DNA) Sequencing Core,RRID:SCR_025314,University of Chicago,Chicago,IL,United States of America,https://voices.uchicago.edu/dnaseq,"Fragment Analysis - Capillary Electrophoresis,Genotyping,Sequencing - Capillary Sequencing,Sequencing - DNA Sequencing",The UChicago Sanger Sequencing Core provides Sanger sequencing and fragment analysis via capillary electrophoresis. Expected turnaround time is within 2 business days of order receipt.
Single Cell Immunophenotyping Core,RRID:SCR_025140,University of Chicago,Chicago,IL,United States,https://pme-ciic.prod.uchicago.edu/core-facilities/single-cell-immunophenotyping,"10x Genomics,Nanopore Sequencing,Sequencing - Next Generation Sequencing (NGS)","The Single Cell Immunophenotyping Core Facility is a full-user self-service facility that provides access to specialized instrumentation for the phenotyping and genotyping of immune cells. These include single-cell next-generation sequencing and quality control technologies. All instruments are located in the laboratories of four different CIIC investigators (KCBD 10220E and 10220C), and are available for use by the larger UChicago community."
Transgenic & ES Cell Technology Core (Mouse),RRID:SCR_019171,University of Chicago,Chicago,IL,United States of America,https://voices.uchicago.edu/transgenics/,"Animal Husbandry,Cell Culture,CRISPR Rosa26 & CRISPR H11,CRISPR/Cas Project Design,ES Cell Technology (Mouse),Molecular Construct Services,Rederivation (Mouse),SgRNA Production,Transgenics","The Facility was established in 1989 and provides transgenic (plasmid and BAC) and CRISPR (also ROSA26 & H11 CRISPR) injections, ES Cell targeting, screening, culture and blastocyst injections, rederivation, breeding and mouse services and consultation on project development. The facility also now offers CRISPR vector design and development, as well as design and development of CRISPR guides."
UChicago - Engineering and Technical Support Group,RRID:SCR_022944,University of Chicago,Chicago,IL,United States,https://voices.uchicago.edu/psdetsg/,"Computer Aided Design (CAD),Finite Element Analysis (FEA),Mechanical Automation And Control,Mechanical Design,Project Management","While primarily geared to support faculty-led research projects in the physical sciences, the ETSG serves the entire University of Chicago community. ETSG staff are available to help plan, design, build, test, and install mechanical and electro-mechanical apparatus."
UChicago Animal Resources Center,RRID:SCR_021806,University of Chicago,Chicago,IL,United States of America,voices.uchicago.edu/animalresources,"Animal Husbandry,Surgical Services,Training",The mission of the Animal Resources Center is to assist investigators in performing their animal research while ensuring appropriate and humane care of all laboratory animals.
Advanced Cell Analysis Service Center,RRID:SCR_025797,University of Cincinnati,Cincinnati,OH,United States,https://med.uc.edu/research/core/Index/36/Facility/,"Analysis Workstations,Brightfield Microscopy,Cell Imaging,Cell Sorting,Confocal Microscopy,Consultations,Data Visualization,FACS Cell Sorting,Flow Cytometry,Fluorescence Microscope With Optical Sectioning Capability,Image Aquisition,Image Processing And Analysis,Incucyte,Live Cell Imaging,Microscopy,Stereomicroscopy,Super-resolution Microscopy,Training,Widefield Microscopy","The Department of Cancer Biology houses the Advanced Cell Analysis Service Center (ACASC) which offers access to a variety of microscopes and flow cytometry equipment for researchers.
 
 Services offered: 
 Upright and inverted widefield microscopy
 Confocal Microscopy (Zeiss LSM 710)
 Super-Resolution Microscopy (Nikon SIMe)
 Live Cell Microscopy (Incucylte)
 Flow Cytometry (BD LSR Fortessa)
 Cell Sorting (BD Aria III)"
